date,stars,user_id,review_id,business_id,text
7/14/2016,3,q200TCFOheJfS_MvvwMfJw,6lhEKQ4-agZTLr5LMeHtPQ,BO0zz8gort7o-6KuecIv3Q,"I can't  imagine  Red Lobster ever being a substitute  for  a  fish camp but all of the fish camps around us have closed. We even drove  to  Rock Hill to the Mayflower  Restaurant  only to discover  that  it had  gone  under too!So we drove  back  to  Pineville  to Red Lobster. My wife wanted  white fish but all they had was fish and chips. We ordered  two portions  along with some  coconut  shrimp. The section  that we are in contains  several screaming children, wonderful... Our  waitress  is Eva. She brought  our drinks right away and our orders are in, hopefully  the food will be good.Well the coconut shrimp were kind of bland and the sauce that accompanied them really didn't liven them up. The fish and chips was tasty. The cod was light & fluffy & cooked to perfection and definitely hit the spot. The French fries were decent as well."
11/21/2010,3,4G68oLRY3aHE5XUt_MUUcA,NGMPokzRv0lFOT8g-b9i7A,T1jYZFB_7cqdhuvzpxfFWQ,"IHOP is IHOP... it's great for it's consistency wherever you go.  Usually when I hit up IHOP it's on the weekends and you end up fighting the crowds, but if you time it just right... your IHOP experience can be a good one.This experience recently on a Saturday happened to be after a 4 mile run so we were super super hungry.  I was pleasantly surprised since they offer some new healthy options.  I had the wheat french toast combo with turkey bacon and scrambled egg beater eggs.  Not too bad for 490 calories.  Good way to start the day."
10/30/2011,3,q200TCFOheJfS_MvvwMfJw,TI0JhnAer_i6I1bOdrn7Vg,T1jYZFB_7cqdhuvzpxfFWQ,"iHop is one of our favorite restaurants for late night suppers. We prefer not to go when the rest of the area eats. Our experiences there have been mixed. Servers that I can recommend are Spring & Tiffany who will go the extra distance to make sure you have plenty to drink & refresh your hot maple syrup.Unfortunately we have also had servers who think that making you wait 1/2 hour or more for your check is the way to win a big tip. In that instance the server never returned & we had the meal comped by the manager who told us that she had gone across the street for baby formula. As we were leaving she was pulling up. Another server told me that the reason we had to wait so long to leave was because she had to go to the bathroom. On one of our most recent visits our server told us that the reason that our food was cold, that we got no drink refills, that he couldn't give us our check in a timely manner was because he was "" running around like a chicken with his head cut off.""My wife had ordered cheese soup & a sandwich when we had the chicken as a waiter. The soup came out cold & it resembled snot. The manager took it off our bill.On our last visit the manager served us herself & it was a great meal with excellent service. I like iHop because its cheap & you get decent sized portions. I love the all you can eat pancakes even though I can never eat more than a single plate. If you're worried about shenanigans dining there late at night don't worry. Pineville stations an officer there from 12am - 5am."
1/2/2012,2,vSsUDHU3KWEmZalyMhjLfg,6LfC9ZciJXIeZyufrXiN2A,T1jYZFB_7cqdhuvzpxfFWQ,"My son and I love going to IHOP for breakfast. Well this was our first attempt at this location and it was below expectations. The restaurant had about 10 tables empty and we still had to wait 20 mins to be seated. My guess is they were understaffed. Once we did get seated, service was slow and really bad. I had to ask 4 times for silverware, 3 times for a straw for my sons cup, and the food just wasn't that good. My plate was dirty. My son asked for strawberries on his pancakes and they had blueberry syrup on them - I wonder who's plate they scraped them off of. Oh and the straw came as we were paying. Not our best IHOP experience."
3/10/2012,2,q200TCFOheJfS_MvvwMfJw,TirIRoywGw6dF9ofgU4_6w,T1jYZFB_7cqdhuvzpxfFWQ,"My wife and I had great service from Spring when we ate here a few nights ago. We always ask for either her or Tiffany. Unfortunately the steak tips and eggs that I ordered for dinner were foul. The steak was either overcooked or it was bordering on raw. Thank Gods for the fluffy buttermilk pancakes & hot maple syrup. Without them I'd have gone hungry that night.You might wonder why we continue to eat there given the plethora or marginal experiences, well it is very cheap & its closer to the house than driving down to Carrowinds to go to Cracker Barrel."
5/8/2012,3,q200TCFOheJfS_MvvwMfJw,REZl5s85vl1weEBn-K9k0A,T1jYZFB_7cqdhuvzpxfFWQ,We went to iHOP this evening. Spring was out so we got served by Bob the manager. We both had sweet tea and ham & egg melts with fries. Everything was good. Bob is a good waitress. He was prompt with our drink refills.
5/15/2012,4,q200TCFOheJfS_MvvwMfJw,qQE0xrE8-Kam0zBckuOX5Q,T1jYZFB_7cqdhuvzpxfFWQ,We were greeted by Tracy the manager who decided to serve us along with our faithful waitress Sky. We sat in our usual booth & had a couple sweet teas. My wife had wings and a salad. I had a burger without the bacon interwoven into it. Overall it was a good meal with a lot of iHop gossip being passed along.
5/19/2012,4,q200TCFOheJfS_MvvwMfJw,eLDFViEOwkpDmdXFDwnyNA,T1jYZFB_7cqdhuvzpxfFWQ,Spring seated us in the back section tonight.  We both settled for sweet tea. My wife ordered biscuits and gravy. I ordered a spinach and mushroom omelet with a side of buttermilk pancakes and sausage. I ate all the pancakes and most of the omelet. I think I should just stick to pancakes. Tonight we met the crazy crack lady. She appeared at our booth to inform us that her Lincoln had a leaky fuel line & what were we going to do about it? Since all the garages were closed for the evening I suggested that she talk with Tracey the manager. Tracey handed her off to someone else & she slowly started to make the rounds of the customers in the restaurant. Tracey let us out a side door in the kitchen to get away from her. LOL.
5/22/2012,3,q200TCFOheJfS_MvvwMfJw,0UUZRL-8QBhGbi1VvhW6pw,T1jYZFB_7cqdhuvzpxfFWQ,My wife & I were back at iHop in Pineville this evening. The restaurant was pretty empty. The manager told us that it was very full a couple hours ago because Tuesday night is kids eat free night. My wife had chicken & waffles & I had a new menu item the chicken fajita quesadilla with a side of onion rings. My wife inhaled her meal. I worked my way through mine. Ihop makes really good onion rings so it was a treat to eat there tonight.
6/7/2012,3,q200TCFOheJfS_MvvwMfJw,Im8b4bsX6ryUV9bzZceJkA,T1jYZFB_7cqdhuvzpxfFWQ,Tonight we're seated close to the kitchen. There's a bunch of adult children seated around us. Bob is the manager tonight and Spring is our server. Matt is also serving tonight. He's as dour as he normally is. I ordered a sweet tea while my wife ordered a pepsi. I'm using a birthday coupon for a free entree for chocolate chip pancakes. Spring brought me an ice cream sundae on the house! She said they would sing happy birthday to me but I told them not to bother. The food was good. We had a good time.
